year,winner,jockey,trainer,owner,distance,track_condition,time_string,time_sec,triple_crown_winner
1946,Assault,Warren Mehrtens,Max Hirsch,King Ranch,1.25,Slow,2:06.6,126.6,TRUE
1945,Hoop Jr.,Eddie Arcaro,Ivan H. Parke,Fred W. Hooper,1.25,Muddy,2:07.0,127,FALSE
1944,Pensive,Conn McCreary,Ben A. Jones,Calumet Farm,1.25,Good,2:04.2,124.2,FALSE
1943,Count Fleet,Johnny Longden,Don Cameron,Fannie Hertz,1.25,Fast,2:04.0,124,TRUE
1942,Shut Out,Wayne D. Wright,John M. Gaver Sr.,Greentree Stable,1.25,Fast,2:04.4,124.4,FALSE
1941,Whirlaway,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Fast,2:01.4,121.4,TRUE
1940,Gallahadion,Carroll Bierman,Roy Waldron,Milky Way Farm,1.25,Fast,2:05.0,125,FALSE
1939,Johnstown,James Stout,Jim Fitzsimmons,Belair Stud,1.25,Fast,2:03.4,123.4,FALSE
1938,Lawrin,Eddie Arcaro,Ben A. Jones,Herbert M. Woolf,1.25,Fast,2:04.8,124.8,FALSE
1937,War Admiral,Charley Kurtsinger,George Conway,Glen Riddle Farm,1.25,Fast,2:03.2,123.2,TRUE
1936,Bold Venture,Ira Hanford,Max Hirsch,Morton L. Schwartz,1.25,Fast,2:03.6,123.6,FALSE
1935,Omaha,Willie Saunders,Jim Fitzsimmons,Belair Stud,1.25,Good,2:05.0,125,TRUE
1934,Cavalcade,Mack Garner,Bob Smith,Brookmeade Stable,1.25,Fast,2:04.0,124,FALSE
1933,Brokers Tip,Don Meade,Herbert J. Thompson,Edward R. Bradley,1.25,Good,2:06.8,126.8,FALSE
1932,Burgoo King,Eugene James,Herbert J. Thompson,Edward R. Bradley,1.25,Fast,2:05.2,125.2,FALSE
1931,Twenty Grand,Charley Kurtsinger,James G. Rowe Jr.,Greentree Stable,1.25,Fast,2:01.8,121.8,FALSE
1930,Gallant Fox,Earl Sande,Jim Fitzsimmons,Belair Stud,1.25,Good,2:07.6,127.6,TRUE
1929,Clyde Van Dusen,Linus McAtee,Clyde Van Dusen,Herbert P. Gardner,1.25,Muddy,2:10.8,130.8,FALSE
1928,Reigh Count,Chick Lang,Bert S. Michell,Fannie Hertz,1.25,Heavy,2:10.4,130.4,FALSE
1927,Whiskery,Linus McAtee,Fred Hopkins,Harry P. Whitney,1.25,Slow,2:06.0,126,FALSE
1926,Bubbling Over,Albert Johnson,Herbert J. Thompson,Edward R. Bradley,1.25,Fast,2:03.8,123.8,FALSE
1925,Flying Ebony,Earl Sande,William B. Duke,Gifford A. Cochran,1.25,Sloppy,2:07.6,127.6,FALSE
1924,Black Gold,J. D. Mooney,Hanley Webb,Rosa M. Hoots,1.25,Fast,2:05.2,125.2,FALSE
1923,Zev,Earl Sande,David J. Leary,Rancocas Stable,1.25,Fast,2:05.4,125.4,FALSE
1922,Morvich,Albert Johnson,Fred Burlew,Benjamin Block,1.25,Fast,2:04.6,124.6,FALSE
1921,Behave Yourself,Charles Thompson,Herbert J. Thompson,Edward R. Bradley,1.25,Fast,2:04.2,124.2,FALSE
1920,Paul Jones,Ted Rice,William M. Garth,Ral Parr,1.25,Slow,2:09.0,129,FALSE
1919,Sir Barton,Johnny Loftus,H. Guy Bedwell,J. K. L. Ross,1.25,Heavy,2:09.8,129.8,TRUE
1918,Exterminator,Willie Knapp,Henry McDaniel,Willis Sharpe Kilmer,1.25,Muddy,2:10.8,130.8,FALSE
1917,Omar Khayyam,Charles Borel,Charles T. Patterson,Billings & Johnson,1.25,Fast,2:04.6,124.6,FALSE
1916,George Smith,Johnny Loftus,Hollie Hughes,John Sanford,1.25,Fast,2:04.0,124,FALSE
1915,Regret,Joe Notter,James G. Rowe Sr.,Harry P. Whitney,1.25,Fast,2:05.4,125.4,FALSE
1914,Old Rosebud,John McCabe,Frank D. Weir,Hamilton C. Applegate,1.25,Fast,2:03.40,123.4,FALSE
1913,Donerail,Roscoe Goose,Thomas P. Hayes,Thomas P. Hayes,1.25,Fast,2:04.8,124.8,FALSE
1912,Worth,Carroll H. Shilling,Frank M. Taylor,Harry C. Hallenbeck,1.25,Muddy,2:09.4,129.4,FALSE
1911,Meridian,George Archibald,Albert Ewing,Richard F. Carman,1.25,Fast,2:05.0,125,FALSE
1910,Donau,Frederick Herbert,George Ham,William Gerst,1.25,Fast,2:06.4,126.4,FALSE
1909,Wintergreen,Vincent Powers,Charles Mack,Jerome B. Respess,1.25,Slow,2:08.2,128.2,FALSE
1908,Stone Street,Arthur Pickens,J. W. Hall,C. E. & J. W. Hamilton,1.25,Heavy,2:15.2,135.2,FALSE
1907,Pink Star,Andy Minder,William H. Fizer,J. Hal Woodford,1.25,Heavy,2:12.6,132.6,FALSE
1906,Sir Huon,Roscoe Troxler,Pete Coyne,Bashford Manor Stable,1.25,Fast,2:08.8,128.8,FALSE
1905,Agile,Jack Martin,Robert Tucker,Samuel S. Brown,1.25,Heavy,2:10.75,130.75,FALSE
1904,Elwood,Shorty Prior,Charles E. Durnell,Lasca Durnell,1.25,Fast,2:08.5,128.5,FALSE
1903,Judge Himes,Harold Booker,John P. Mayberry,Charles R. Ellison,1.25,Fast,2:09.0,129,FALSE
1902,Alan-a-Dale,Jimmy Winkfield,Thomas C. McDowell,Thomas C. McDowell,1.25,Fast,2:08.75,128.75,FALSE
1901,His Eminence,Jimmy Winkfield,Frank B. Van Meter,Frank B. Van Meter,1.25,Fast,2:07.75,127.75,FALSE
1900,Lieut. Gibson,Jimmy Boland,Charles H. Hughes,Charles Head Smith,1.25,Fast,2:06.25,126.25,FALSE
1899,Manuel,Fred Taral,Robert J. Walden,A. H. & D. H. Morris,1.25,Fast,2:12.0,132,FALSE
1898,Plaudit,Willie Simms,John E. Madden,John E. Madden,1.25,Good,2:09.0,129,FALSE
1897,Typhoon II,Buttons Garner,Julius C. Cahn,Julius C. Cahn,1.25,Heavy,2:12.5,132.5,FALSE
1896,Ben Brush,Willie Simms,Hardy Campbell Jr.,Mike F. Dwyer,1.25,Fast,2:07.75,127.75,FALSE
1895,Halma,James Perkins,Byron McClelland,Byron McClelland,1.50,Fast,2:37.5,157.5,FALSE
1894,Chant,Frank Goodale,H. Eugene Leigh,H. Eugene Leigh & Robert L. Rose,1.50,Fast,2:41.0,161,FALSE
1893,Lookout,Eddie Kunze,William McDaniel,Cushing & Orth,1.50,Fast,2:39.25,159.25,FALSE
1892,Azra,Alonzo Clayton,John H. Morris,Bashford Manor Stable,1.50,Heavy,2:41.5,161.5,FALSE
1891,Kingman,Isaac Murphy,Dud Allen,Jacobin Stable,1.50,Fast,2:52.25,172.25,FALSE
1890,Riley,Isaac Murphy,Edward Corrigan,Edward Corrigan,1.50,Muddy,2:45.0,165,FALSE
1889,Spokane,Thomas Kiley,John Rodegap,Noah Armstrong,1.50,Fast,2:34.5,154.5,FALSE
1888,Macbeth II,George Covington,John Campbell,Chicago Stable,1.50,Fast,2:38.25,158.25,FALSE
1887,Montrose,Isaac Lewis,John McGinty,Labold Brothers,1.50,Fast,2:39.25,159.25,FALSE
1886,Ben Ali,Paul Duffy,Jim Murphy,J. B. A. Haggin,1.50,Fast,2:36.5,156.5,FALSE
1885,Joe Cotton,Erskine Henderson,Abraham Perry,James T. Williams,1.50,Good,2:37.25,157.25,FALSE
1884,Buchanan,Isaac Murphy,William Bird,Samuel S. Brown & William Cottrill,1.50,Good,2:40.25,160.25,FALSE
1883,Leonatus,William Donohue,Raleigh Colston Sr.,Jack P. Chinn & George W. Morgan,1.50,Heavy,2:43.0,163,FALSE
1882,Apollo,Babe Hurd,Green B. Morris,Morris & Patton,1.50,Fast,2:40.25,160.25,FALSE
1881,Hindoo,Jim McLaughlin,James G. Rowe Sr.,Dwyer Bros. Stable,1.50,Fast,2:40.0,160,FALSE
1880,Fonso,George Lewis,Tice Hutsell,J. Snell Shawhan,1.50,Fast,2:37.50,157.5,FALSE
1879,Lord Murphy,Charlie Shauer,George Rice,Darden & Co,1.50,Fast,2:37.00,157,FALSE
1878,Day Star,Jimmy Carter,Lee Paul,Thomas J. Nichols,1.50,Fast,2:37.25,157.25,FALSE
1877,Baden-Baden,Billy Walker,Edward D. Brown,Daniel Swigert,1.50,Fast,2:38.0,158,FALSE
1876,Vagrant,Robert Swim,James Williams,William Astor Jr.,1.50,Fast,2:38.25,158.25,FALSE
1875,Aristides,Oliver Lewis,Ansel Williamson,H. Price McGrath,1.50,Fast,2:37.75,157.75,FALSE
